序号,文件名,文件类型,云端链接
1,《1.4.1 充分条件与必要条件》.docx,.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《1.4.1 充分条件与必要条件》.docx
2,《1.4.1 充分条件与必要条件》.md,.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《1.4.1 充分条件与必要条件》.md
3,《2.1.2 离散型随机变量的分布列(二)》.docx,.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《2.1.2 离散型随机变量的分布列(二)》.docx
4,《2.1.2 离散型随机变量的分布列(二)》.md,.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《2.1.2 离散型随机变量的分布列(二)》.md
5,《2.3 二次函数与一元二次方程、不等式（1）》 (1).docx,.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《2.3 二次函数与一元二次方程、不等式（1）》 (1).docx
6,《2.3 二次函数与一元二次方程、不等式（1）》 (1).md,.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《2.3 二次函数与一元二次方程、不等式（1）》 (1).md
7,《2.3 二次函数与一元二次方程、不等式（1）》 (2).docx,.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《2.3 二次函数与一元二次方程、不等式（1）》 (2).docx
8,《2.3 二次函数与一元二次方程、不等式（1）》 (2).md,.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《2.3 二次函数与一元二次方程、不等式（1）》 (2).md
9,《6.3.1二项式定理》.docx,.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《6.3.1二项式定理》.docx
10,《6.3.1二项式定理》.md,.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《6.3.1二项式定理》.md
11,image_000.png,.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《6.3.1二项式定理》_images/image_000.png
12,image_000.wmf,.wmf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《6.3.1二项式定理》_images/image_000.wmf
13,image_001.png,.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《6.3.1二项式定理》_images/image_001.png
14,image_001.wmf,.wmf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《6.3.1二项式定理》_images/image_001.wmf
15,image_002.png,.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《6.3.1二项式定理》_images/image_002.png
16,image_002.wmf,.wmf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《6.3.1二项式定理》_images/image_002.wmf
17,image_003.png,.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《6.3.1二项式定理》_images/image_003.png
18,image_003.wmf,.wmf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《6.3.1二项式定理》_images/image_003.wmf
19,《7.1.2全概率公式》.docx,.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《7.1.2全概率公式》.docx
20,《7.1.2全概率公式》.md,.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《7.1.2全概率公式》.md
21,《导数复习》.docx,.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《导数复习》.docx
22,《导数复习》.md,.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《导数复习》.md
23,《数列的概念》.docx,.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《数列的概念》.docx
24,《数列的概念》.md,.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《数列的概念》.md
25,《椭圆及其标准方程》.docx,.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《椭圆及其标准方程》.docx
26,《椭圆及其标准方程》.md,.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《椭圆及其标准方程》.md
27,《高等数学思想与方法在高考压轴题中的渗透——以麦克劳林公式与公切线为例》.docx,.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《高等数学思想与方法在高考压轴题中的渗透——以麦克劳林公式与公切线为例》.docx
28,《高等数学思想与方法在高考压轴题中的渗透——以麦克劳林公式与公切线为例》.md,.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/优秀案例分析/优秀案例分析/《高等数学思想与方法在高考压轴题中的渗透——以麦克劳林公式与公切线为例》.md
