文件名,目录,文件类型,扩展名,大小(KB),修改时间,关联文件,图片数量,备注,完整路径,云端链接
2.3 二次函数与一元二次方程、不等式 教学设计（1）.docx,2.3二次函数与一元二次方程、不等式,原文件,.docx,1068.47,2026/1/24 23:20,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/2.3%20%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%20%E6%95%99%E5%AD%A6%E8%AE%BE%E8%AE%A1%EF%BC%881%EF%BC%89.docx
2.3 二次函数与一元二次方程、不等式 教学设计（1）.md,2.3二次函数与一元二次方程、不等式,Markdown文件,.md,6.92,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（1）.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/2.3%20%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%20%E6%95%99%E5%AD%A6%E8%AE%BE%E8%AE%A1%EF%BC%881%EF%BC%89.md
2.3 二次函数与一元二次方程、不等式 教学设计（2）.docx,2.3二次函数与一元二次方程、不等式,原文件,.docx,176.2,2026/1/24 23:20,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（2）.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/2.3%20%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%20%E6%95%99%E5%AD%A6%E8%AE%BE%E8%AE%A1%EF%BC%882%EF%BC%89.docx
2.3 二次函数与一元二次方程、不等式 教学设计（2）.md,2.3二次函数与一元二次方程、不等式,Markdown文件,.md,7.5,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3 二次函数与一元二次方程、不等式 教学设计（2）.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/2.3%20%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%20%E6%95%99%E5%AD%A6%E8%AE%BE%E8%AE%A1%EF%BC%882%EF%BC%89.md
2.3二次函数与一元二次方程、不等式（教学设计）-【新教材精创】)  .docx,2.3二次函数与一元二次方程、不等式,原文件,.docx,562.1,2026/1/24 23:22,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3二次函数与一元二次方程、不等式（教学设计）-【新教材精创】)  .docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%EF%BC%88%E6%95%99%E5%AD%A6%E8%AE%BE%E8%AE%A1%EF%BC%89-%E3%80%90%E6%96%B0%E6%95%99%E6%9D%90%E7%B2%BE%E5%88%9B%E3%80%91%29%20%20.docx
2.3二次函数与一元二次方程、不等式（教学设计）-【新教材精创】)  .md,2.3二次函数与一元二次方程、不等式,Markdown文件,.md,17.73,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\2.3二次函数与一元二次方程、不等式（教学设计）-【新教材精创】)  .md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%EF%BC%88%E6%95%99%E5%AD%A6%E8%AE%BE%E8%AE%A1%EF%BC%89-%E3%80%90%E6%96%B0%E6%95%99%E6%9D%90%E7%B2%BE%E5%88%9B%E3%80%91%29%20%20.md
《2.3 二次函数与一元二次方程、不等式》优秀教学教案教学设计.docx,2.3二次函数与一元二次方程、不等式,原文件,.docx,1084.06,2026/1/24 23:24,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\《2.3 二次函数与一元二次方程、不等式》优秀教学教案教学设计.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/%E3%80%8A2.3%20%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%E3%80%8B%E4%BC%98%E7%A7%80%E6%95%99%E5%AD%A6%E6%95%99%E6%A1%88%E6%95%99%E5%AD%A6%E8%AE%BE%E8%AE%A1.docx
《2.3 二次函数与一元二次方程、不等式》优秀教学教案教学设计.md,2.3二次函数与一元二次方程、不等式,Markdown文件,.md,6.92,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\《2.3 二次函数与一元二次方程、不等式》优秀教学教案教学设计.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/%E3%80%8A2.3%20%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%E3%80%8B%E4%BC%98%E7%A7%80%E6%95%99%E5%AD%A6%E6%95%99%E6%A1%88%E6%95%99%E5%AD%A6%E8%AE%BE%E8%AE%A1.md
《2.3 二次函数与一元二次方程、不等式》公开课优秀教案教学设计.docx,2.3二次函数与一元二次方程、不等式,原文件,.docx,171.49,2026/1/24 23:24,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\《2.3 二次函数与一元二次方程、不等式》公开课优秀教案教学设计.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/%E3%80%8A2.3%20%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%E3%80%8B%E5%85%AC%E5%BC%80%E8%AF%BE%E4%BC%98%E7%A7%80%E6%95%99%E6%A1%88%E6%95%99%E5%AD%A6%E8%AE%BE%E8%AE%A1.docx
《2.3 二次函数与一元二次方程、不等式》公开课优秀教案教学设计.md,2.3二次函数与一元二次方程、不等式,Markdown文件,.md,7.47,2026/3/26 14:11,,0,函数教案资源,2.3二次函数与一元二次方程、不等式\《2.3 二次函数与一元二次方程、不等式》公开课优秀教案教学设计.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-%E5%87%BD%E6%95%B0/01-%E6%95%99%E6%A1%88/2.3%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F/%E3%80%8A2.3%20%E4%BA%8C%E6%AC%A1%E5%87%BD%E6%95%B0%E4%B8%8E%E4%B8%80%E5%85%83%E4%BA%8C%E6%AC%A1%E6%96%B9%E7%A8%8B%E3%80%81%E4%B8%8D%E7%AD%89%E5%BC%8F%E3%80%8B%E5%85%AC%E5%BC%80%E8%AF%BE%E4%BC%98%E7%A7%80%E6%95%99%E6%A1%88%E6%95%99%E5%AD%A6%E8%AE%BE%E8%AE%A1.md
