文件名,本地路径,云端路径,云端链接,上传状态,上传时间,所属模块
函数教学大纲.docx,D:\资源推荐\函数-教学大纲\函数-教学大纲\函数教学大纲.docx,math-teaching-resources/01-函数/06-教学大纲/函数-教学大纲/函数教学大纲.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-函数/06-教学大纲/函数-教学大纲/函数教学大纲.docx,成功,2026-04-04 18:58:17,01-函数
函数教学大纲.md,D:\资源推荐\函数-教学大纲\函数-教学大纲\函数教学大纲.md,math-teaching-resources/01-函数/06-教学大纲/函数-教学大纲/函数教学大纲.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-函数/06-教学大纲/函数-教学大纲/函数教学大纲.md,成功,2026-04-04 18:58:17,01-函数
2019年人教A版高中数学必修第一册 (中学数学课程教材研究开发中心) (Z-Library).pdf,D:\资源推荐\函数-教学大纲\函数-教学大纲\参考文件\2019年人教A版高中数学必修第一册 (中学数学课程教材研究开发中心) (Z-Library).pdf,math-teaching-resources/01-函数/06-教学大纲/函数-教学大纲/参考文件/2019年人教A版高中数学必修第一册 (中学数学课程教材研究开发中心) (Z-Library).pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-函数/06-教学大纲/函数-教学大纲/参考文件/2019年人教A版高中数学必修第一册 (中学数学课程教材研究开发中心) (Z-Library).pdf,成功,2026-04-04 18:58:38,01-函数
3.普通高中数学课程标准（2017年版2020年修订）.20250207213419.pdf,D:\资源推荐\函数-教学大纲\函数-教学大纲\参考文件\3.普通高中数学课程标准（2017年版2020年修订）.20250207213419.pdf,math-teaching-resources/01-函数/06-教学大纲/函数-教学大纲/参考文件/3.普通高中数学课程标准（2017年版2020年修订）.20250207213419.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-函数/06-教学大纲/函数-教学大纲/参考文件/3.普通高中数学课程标准（2017年版2020年修订）.20250207213419.pdf,成功,2026-04-04 18:58:43,01-函数
普通高中教科书·数学（A版）选择性必修 第二册 (人民教育出版社 课程教材研究所 中学数学课程教材研发开发中心) (Z-Library).pdf,D:\资源推荐\函数-教学大纲\函数-教学大纲\参考文件\普通高中教科书·数学（A版）选择性必修 第二册 (人民教育出版社 课程教材研究所 中学数学课程教材研发开发中心) (Z-Library).pdf,math-teaching-resources/01-函数/06-教学大纲/函数-教学大纲/参考文件/普通高中教科书·数学（A版）选择性必修 第二册 (人民教育出版社 课程教材研究所 中学数学课程教材研发开发中心) (Z-Library).pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/01-函数/06-教学大纲/函数-教学大纲/参考文件/普通高中教科书·数学（A版）选择性必修 第二册 (人民教育出版社 课程教材研究所 中学数学课程教材研发开发中心) (Z-Library).pdf,成功,2026-04-04 18:58:50,01-函数
几何教学大纲.md,D:\资源推荐\立体几何-教学大纲\立体几何-教学大纲\几何教学大纲.md,math-teaching-resources/02-立体几何/06-教学大纲/立体几何-教学大纲/几何教学大纲.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/06-教学大纲/立体几何-教学大纲/几何教学大纲.md,成功,2026-04-04 18:58:50,02-立体几何
几何教学大纲excel版.xlsx,D:\资源推荐\立体几何-教学大纲\立体几何-教学大纲\几何教学大纲excel版.xlsx,math-teaching-resources/02-立体几何/06-教学大纲/立体几何-教学大纲/几何教学大纲excel版.xlsx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/06-教学大纲/立体几何-教学大纲/几何教学大纲excel版.xlsx,成功,2026-04-04 18:58:50,02-立体几何
几何教学大纲word版.docx,D:\资源推荐\立体几何-教学大纲\立体几何-教学大纲\几何教学大纲word版.docx,math-teaching-resources/02-立体几何/06-教学大纲/立体几何-教学大纲/几何教学大纲word版.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/06-教学大纲/立体几何-教学大纲/几何教学大纲word版.docx,成功,2026-04-04 18:58:50,02-立体几何
3.普通高中数学课程标准（2017年版2020年修订）.20250207213419.pdf,D:\资源推荐\立体几何-教学大纲\立体几何-教学大纲\参考文件\3.普通高中数学课程标准（2017年版2020年修订）.20250207213419.pdf,math-teaching-resources/02-立体几何/06-教学大纲/立体几何-教学大纲/参考文件/3.普通高中数学课程标准（2017年版2020年修订）.20250207213419.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/06-教学大纲/立体几何-教学大纲/参考文件/3.普通高中数学课程标准（2017年版2020年修订）.20250207213419.pdf,成功,2026-04-04 18:58:56,02-立体几何
"普通高中教科书 数学（A版） 必修 第二册 (人民教育出版社课程教材研究所) (z-library.sk, 1lib.sk, z-lib.sk).pdf","D:\资源推荐\立体几何-教学大纲\立体几何-教学大纲\参考文件\普通高中教科书 数学（A版） 必修 第二册 (人民教育出版社课程教材研究所) (z-library.sk, 1lib.sk, z-lib.sk).pdf","math-teaching-resources/02-立体几何/06-教学大纲/立体几何-教学大纲/参考文件/普通高中教科书 数学（A版） 必修 第二册 (人民教育出版社课程教材研究所) (z-library.sk, 1lib.sk, z-lib.sk).pdf","https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/06-教学大纲/立体几何-教学大纲/参考文件/普通高中教科书 数学（A版） 必修 第二册 (人民教育出版社课程教材研究所) (z-library.sk, 1lib.sk, z-lib.sk).pdf",成功,2026-04-04 18:59:28,02-立体几何
