文件名,目录,文件类型,扩展名,大小(KB),修改时间,关联文件,图片数量,备注,完整路径,云端链接
0617高一数学(人教A版)-简单随机抽样-1教案.docx,必修二\第九章统计\9.1 随机抽样,docx,.docx,361.91,2026/2/6 22:48,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/0617高一数学(人教A版)-简单随机抽样-1教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/0617高一数学(人教A版)-简单随机抽样-1教案.docx
0617高一数学(人教A版)-简单随机抽样-1教案.md,必修二\第九章统计\9.1 随机抽样,md,.md,17.72,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/0617高一数学(人教A版)-简单随机抽样-1教案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/0617高一数学(人教A版)-简单随机抽样-1教案.md
0617高一数学(人教A版)-随机抽样-1教案.docx,必修二\第九章统计\9.1 随机抽样,docx,.docx,377.04,2026/2/6 22:48,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/0617高一数学(人教A版)-随机抽样-1教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/0617高一数学(人教A版)-随机抽样-1教案.docx
0617高一数学(人教A版)-随机抽样-1教案.md,必修二\第九章统计\9.1 随机抽样,md,.md,22.95,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/0617高一数学(人教A版)-随机抽样-1教案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/0617高一数学(人教A版)-随机抽样-1教案.md
0618高一数学(人教A版)-分层随机抽样-1教案.docx,必修二\第九章统计\9.1 随机抽样,docx,.docx,1230.6,2026/2/6 22:48,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/0618高一数学(人教A版)-分层随机抽样-1教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/0618高一数学(人教A版)-分层随机抽样-1教案.docx
0618高一数学(人教A版)-分层随机抽样-1教案.md,必修二\第九章统计\9.1 随机抽样,md,.md,26.49,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/0618高一数学(人教A版)-分层随机抽样-1教案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/0618高一数学(人教A版)-分层随机抽样-1教案.md
0619高一数学(人教A版)获取数据的途径1教案.docx,必修二\第九章统计\9.1 随机抽样,docx,.docx,33.15,2026/2/6 22:48,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/0619高一数学(人教A版)获取数据的途径1教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/0619高一数学(人教A版)获取数据的途径1教案.docx
0619高一数学(人教A版)获取数据的途径1教案.md,必修二\第九章统计\9.1 随机抽样,md,.md,23.75,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/0619高一数学(人教A版)获取数据的途径1教案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/0619高一数学(人教A版)获取数据的途径1教案.md
【精品教案】2022年高中数学人教A版（2019）必修二+9.1.1简单随机抽样（1）+教案1.doc,必修二\第九章统计\9.1 随机抽样,doc,.doc,615,2026/2/15 15:59,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/【精品教案】2022年高中数学人教A版（2019）必修二+9.1.1简单随机抽样（1）+教案1.doc,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/【精品教案】2022年高中数学人教A版（2019）必修二+9.1.1简单随机抽样（1）+教案1.doc
【精品教案】2022年高中数学人教A版（2019）必修二+9.1.1简单随机抽样（1）+教案1.docx,必修二\第九章统计\9.1 随机抽样,docx,.docx,486.71,2026/4/19 14:53,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/【精品教案】2022年高中数学人教A版（2019）必修二+9.1.1简单随机抽样（1）+教案1.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/【精品教案】2022年高中数学人教A版（2019）必修二+9.1.1简单随机抽样（1）+教案1.docx
【精品教案】2022年高中数学人教A版（2019）必修二+9.1.1简单随机抽样（1）+教案1.md,必修二\第九章统计\9.1 随机抽样,md,.md,38.05,2026/4/19 14:56,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/【精品教案】2022年高中数学人教A版（2019）必修二+9.1.1简单随机抽样（1）+教案1.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/【精品教案】2022年高中数学人教A版（2019）必修二+9.1.1简单随机抽样（1）+教案1.md
北师大版（2019）必修第一册数学《简单随机抽样》教案.docx,必修二\第九章统计\9.1 随机抽样,docx,.docx,27.3,2026/2/15 15:59,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/北师大版（2019）必修第一册数学《简单随机抽样》教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/北师大版（2019）必修第一册数学《简单随机抽样》教案.docx
北师大版（2019）必修第一册数学《简单随机抽样》教案.md,必修二\第九章统计\9.1 随机抽样,md,.md,17.74,2026/4/19 11:43,,0,,math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/北师大版（2019）必修第一册数学《简单随机抽样》教案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-概率与统计/01-教案/必修二/第九章统计/9.1 随机抽样/北师大版（2019）必修第一册数学《简单随机抽样》教案.md
