文件名,文件大小(字节),本地完整路径,云端路径,云端链接,上传状态,上传时间,所属文件夹,相对路径
理论卡片.docx,616022392,D:\资源推荐\理论卡片\理论卡片\理论卡片.docx,math-teaching-resources/理论卡片/理论卡片.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论卡片.docx,成功,2026-04-04 19:24:18,math-teaching-resources/理论卡片,理论卡片.docx
理论卡片.md,129767,D:\资源推荐\理论卡片\理论卡片\理论卡片.md,math-teaching-resources/理论卡片/理论卡片.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论卡片.md,成功,2026-04-04 19:24:18,math-teaching-resources/理论卡片,理论卡片.md
MPCK视域下的高中数学概念教学_周彬.pdf,3598444,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片七：MPCK理论\MPCK视域下的高中数学概念教学_周彬.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片七：MPCK理论/MPCK视域下的高中数学概念教学_周彬.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片七：MPCK理论/MPCK视域下的高中数学概念教学_周彬.pdf,成功,2026-04-04 19:24:20,math-teaching-resources/理论卡片,理论文献\理论卡片七：MPCK理论\MPCK视域下的高中数学概念教学_周彬.pdf
MPCK视角下的教学设计——以“直线与平面垂直的判定”为例_何丽霞.pdf,1434765,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片七：MPCK理论\MPCK视角下的教学设计——以“直线与平面垂直的判定”为例_何丽霞.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片七：MPCK理论/MPCK视角下的教学设计——以“直线与平面垂直的判定”为例_何丽霞.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片七：MPCK理论/MPCK视角下的教学设计——以“直线与平面垂直的判定”为例_何丽霞.pdf,成功,2026-04-04 19:24:21,math-teaching-resources/理论卡片,理论文献\理论卡片七：MPCK理论\MPCK视角下的教学设计——以“直线与平面垂直的判定”为例_何丽霞.pdf
MPCK视角下的高中数学课堂提问有效性研究_何诗雨.pdf,1575856,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片七：MPCK理论\MPCK视角下的高中数学课堂提问有效性研究_何诗雨.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片七：MPCK理论/MPCK视角下的高中数学课堂提问有效性研究_何诗雨.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片七：MPCK理论/MPCK视角下的高中数学课堂提问有效性研究_何诗雨.pdf,成功,2026-04-04 19:24:22,math-teaching-resources/理论卡片,理论文献\理论卡片七：MPCK理论\MPCK视角下的高中数学课堂提问有效性研究_何诗雨.pdf
MPCK视野下圆锥曲线最值问题的教学研究_吴晓婉.pdf,2562981,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片七：MPCK理论\MPCK视野下圆锥曲线最值问题的教学研究_吴晓婉.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片七：MPCK理论/MPCK视野下圆锥曲线最值问题的教学研究_吴晓婉.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片七：MPCK理论/MPCK视野下圆锥曲线最值问题的教学研究_吴晓婉.pdf,成功,2026-04-04 19:24:23,math-teaching-resources/理论卡片,理论文献\理论卡片七：MPCK理论\MPCK视野下圆锥曲线最值问题的教学研究_吴晓婉.pdf
基于MPCK的“平面向量及其应用”单元教学设计研究_陈燕彬.pdf,4383255,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片七：MPCK理论\基于MPCK的“平面向量及其应用”单元教学设计研究_陈燕彬.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片七：MPCK理论/基于MPCK的“平面向量及其应用”单元教学设计研究_陈燕彬.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片七：MPCK理论/基于MPCK的“平面向量及其应用”单元教学设计研究_陈燕彬.pdf,成功,2026-04-04 19:24:25,math-teaching-resources/理论卡片,理论文献\理论卡片七：MPCK理论\基于MPCK的“平面向量及其应用”单元教学设计研究_陈燕彬.pdf
基于MPCK的高中数学教学设计案例研究_文钰林.pdf,1400561,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片七：MPCK理论\基于MPCK的高中数学教学设计案例研究_文钰林.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片七：MPCK理论/基于MPCK的高中数学教学设计案例研究_文钰林.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片七：MPCK理论/基于MPCK的高中数学教学设计案例研究_文钰林.pdf,成功,2026-04-04 19:24:26,math-teaching-resources/理论卡片,理论文献\理论卡片七：MPCK理论\基于MPCK的高中数学教学设计案例研究_文钰林.pdf
基于MPCK视角下的高中数学公式推导的教学建议——以两角差的余弦公式推导为例_岑义其.pdf,971454,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片七：MPCK理论\基于MPCK视角下的高中数学公式推导的教学建议——以两角差的余弦公式推导为例_岑义其.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片七：MPCK理论/基于MPCK视角下的高中数学公式推导的教学建议——以两角差的余弦公式推导为例_岑义其.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片七：MPCK理论/基于MPCK视角下的高中数学公式推导的教学建议——以两角差的余弦公式推导为例_岑义其.pdf,成功,2026-04-04 19:24:27,math-teaching-resources/理论卡片,理论文献\理论卡片七：MPCK理论\基于MPCK视角下的高中数学公式推导的教学建议——以两角差的余弦公式推导为例_岑义其.pdf
"数学教育心理学 第3版 (曹才翰；章建跃) (z-library.sk, 1lib.sk, z-lib.sk).pdf",58509094,"D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片三十一~理论卡片三十六\数学教育心理学 第3版 (曹才翰；章建跃) (z-library.sk, 1lib.sk, z-lib.sk).pdf","math-teaching-resources/理论卡片/理论文献/理论卡片三十一~理论卡片三十六/数学教育心理学 第3版 (曹才翰；章建跃) (z-library.sk, 1lib.sk, z-lib.sk).pdf","https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片三十一~理论卡片三十六/数学教育心理学 第3版 (曹才翰；章建跃) (z-library.sk, 1lib.sk, z-lib.sk).pdf",成功,2026-04-04 19:24:57,math-teaching-resources/理论卡片,"理论文献\理论卡片三十一~理论卡片三十六\数学教育心理学 第3版 (曹才翰；章建跃) (z-library.sk, 1lib.sk, z-lib.sk).pdf"
第二讲 数学概念的心理学.pptx,4113946,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片三十一：数学概念学习理论\第二讲 数学概念的心理学.pptx,math-teaching-resources/理论卡片/理论文献/理论卡片三十一：数学概念学习理论/第二讲 数学概念的心理学.pptx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片三十一：数学概念学习理论/第二讲 数学概念的心理学.pptx,成功,2026-04-04 19:24:59,math-teaching-resources/理论卡片,理论文献\理论卡片三十一：数学概念学习理论\第二讲 数学概念的心理学.pptx
数学学与教的心理学（第二版） (何小亚).pdf,22941493,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片三十七~理论卡片四十四\数学学与教的心理学（第二版） (何小亚).pdf,math-teaching-resources/理论卡片/理论文献/理论卡片三十七~理论卡片四十四/数学学与教的心理学（第二版） (何小亚).pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片三十七~理论卡片四十四/数学学与教的心理学（第二版） (何小亚).pdf,成功,2026-04-04 19:25:11,math-teaching-resources/理论卡片,理论文献\理论卡片三十七~理论卡片四十四\数学学与教的心理学（第二版） (何小亚).pdf
戴尔金字塔理论视角下的高职数学教学研究——以函数求极限教学为例_董志华.pdf,1091640,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片三十：学习金字塔理论\戴尔金字塔理论视角下的高职数学教学研究——以函数求极限教学为例_董志华.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片三十：学习金字塔理论/戴尔金字塔理论视角下的高职数学教学研究——以函数求极限教学为例_董志华.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片三十：学习金字塔理论/戴尔金字塔理论视角下的高职数学教学研究——以函数求极限教学为例_董志华.pdf,成功,2026-04-04 19:25:12,math-teaching-resources/理论卡片,理论文献\理论卡片三十：学习金字塔理论\戴尔金字塔理论视角下的高职数学教学研究——以函数求极限教学为例_董志华.pdf
运用学习金字塔理论__优化高中数学教学_陈华兰.pdf,135037,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片三十：学习金字塔理论\运用学习金字塔理论__优化高中数学教学_陈华兰.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片三十：学习金字塔理论/运用学习金字塔理论__优化高中数学教学_陈华兰.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片三十：学习金字塔理论/运用学习金字塔理论__优化高中数学教学_陈华兰.pdf,成功,2026-04-04 19:25:12,math-teaching-resources/理论卡片,理论文献\理论卡片三十：学习金字塔理论\运用学习金字塔理论__优化高中数学教学_陈华兰.pdf
运用学习金字塔理论__改进高中数学教学_周可忠.pdf,226873,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片三十：学习金字塔理论\运用学习金字塔理论__改进高中数学教学_周可忠.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片三十：学习金字塔理论/运用学习金字塔理论__改进高中数学教学_周可忠.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片三十：学习金字塔理论/运用学习金字塔理论__改进高中数学教学_周可忠.pdf,成功,2026-04-04 19:25:12,math-teaching-resources/理论卡片,理论文献\理论卡片三十：学习金字塔理论\运用学习金字塔理论__改进高中数学教学_周可忠.pdf
运用学习金字塔理论提高高中数学教学实效_刘雯.pdf,563822,D:\资源推荐\理论卡片\理论卡片\理论文献\理论卡片三十：学习金字塔理论\运用学习金字塔理论提高高中数学教学实效_刘雯.pdf,math-teaching-resources/理论卡片/理论文献/理论卡片三十：学习金字塔理论/运用学习金字塔理论提高高中数学教学实效_刘雯.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/理论卡片/理论文献/理论卡片三十：学习金字塔理论/运用学习金字塔理论提高高中数学教学实效_刘雯.pdf,成功,2026-04-04 19:25:13,math-teaching-resources/理论卡片,理论文献\理论卡片三十：学习金字塔理论\运用学习金字塔理论提高高中数学教学实效_刘雯.pdf
