文件名,目录,文件类型,扩展名,大小(KB),修改时间,关联文件,图片数量,备注,完整路径,云端链接
0617高一数学(人教A版)-简单随机抽样-1教案.docx,必修二\第九章统计\9.1 随机抽样,原文件,.docx,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\0617高一数学(人教A版)-简单随机抽样-1教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/0617%E9%AB%98%E4%B8%80%E6%95%B0%E5%AD%A6%28%E4%BA%BA%E6%95%99A%E7%89%88%29-%E7%AE%80%E5%8D%95%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7-1%E6%95%99%E6%A1%88.docx
0617高一数学(人教A版)-简单随机抽样-1教案.md,必修二\第九章统计\9.1 随机抽样,Markdown文件,.md,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\0617高一数学(人教A版)-简单随机抽样-1教案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/0617%E9%AB%98%E4%B8%80%E6%95%B0%E5%AD%A6%28%E4%BA%BA%E6%95%99A%E7%89%88%29-%E7%AE%80%E5%8D%95%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7-1%E6%95%99%E6%A1%88.md
0617高一数学(人教A版)-随机抽样-1教案.docx,必修二\第九章统计\9.1 随机抽样,原文件,.docx,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\0617高一数学(人教A版)-随机抽样-1教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/0617%E9%AB%98%E4%B8%80%E6%95%B0%E5%AD%A6%28%E4%BA%BA%E6%95%99A%E7%89%88%29-%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7-1%E6%95%99%E6%A1%88.docx
0617高一数学(人教A版)-随机抽样-1教案.md,必修二\第九章统计\9.1 随机抽样,Markdown文件,.md,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\0617高一数学(人教A版)-随机抽样-1教案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/0617%E9%AB%98%E4%B8%80%E6%95%B0%E5%AD%A6%28%E4%BA%BA%E6%95%99A%E7%89%88%29-%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7-1%E6%95%99%E6%A1%88.md
0618高一数学(人教A版)-分层随机抽样-1教案.docx,必修二\第九章统计\9.1 随机抽样,原文件,.docx,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\0618高一数学(人教A版)-分层随机抽样-1教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/0618%E9%AB%98%E4%B8%80%E6%95%B0%E5%AD%A6%28%E4%BA%BA%E6%95%99A%E7%89%88%29-%E5%88%86%E5%B1%82%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7-1%E6%95%99%E6%A1%88.docx
0618高一数学(人教A版)-分层随机抽样-1教案.md,必修二\第九章统计\9.1 随机抽样,Markdown文件,.md,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\0618高一数学(人教A版)-分层随机抽样-1教案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/0618%E9%AB%98%E4%B8%80%E6%95%B0%E5%AD%A6%28%E4%BA%BA%E6%95%99A%E7%89%88%29-%E5%88%86%E5%B1%82%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7-1%E6%95%99%E6%A1%88.md
0619高一数学(人教A版)获取数据的途径1教案.docx,必修二\第九章统计\9.1 随机抽样,原文件,.docx,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\0619高一数学(人教A版)获取数据的途径1教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/0619%E9%AB%98%E4%B8%80%E6%95%B0%E5%AD%A6%28%E4%BA%BA%E6%95%99A%E7%89%88%29%E8%8E%B7%E5%8F%96%E6%95%B0%E6%8D%AE%E7%9A%84%E9%80%94%E5%BE%841%E6%95%99%E6%A1%88.docx
0619高一数学(人教A版)获取数据的途径1教案.md,必修二\第九章统计\9.1 随机抽样,Markdown文件,.md,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\0619高一数学(人教A版)获取数据的途径1教案.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/0619%E9%AB%98%E4%B8%80%E6%95%B0%E5%AD%A6%28%E4%BA%BA%E6%95%99A%E7%89%88%29%E8%8E%B7%E5%8F%96%E6%95%B0%E6%8D%AE%E7%9A%84%E9%80%94%E5%BE%841%E6%95%99%E6%A1%88.md
【精品教案】2022年高中数学人教A版（2019）必修二+9.1.1简单随机抽样（1）+教案1.docx,必修二\第九章统计\9.1 随机抽样,原文件,.docx,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\【精品教案】2022年高中数学人教A版（2019）必修二+9.1.1简单随机抽样（1）+教案1.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/%E3%80%90%E7%B2%BE%E5%93%81%E6%95%99%E6%A1%88%E3%80%912022%E5%B9%B4%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E4%BA%BA%E6%95%99A%E7%89%88%EF%BC%882019%EF%BC%89%E5%BF%85%E4%BF%AE%E4%BA%8C%2B9.1.1%E7%AE%80%E5%8D%95%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7%EF%BC%881%EF%BC%89%2B%E6%95%99%E6%A1%881.docx
【精品教案】2022年高中数学人教A版（2019）必修二+9.1.1简单随机抽样（1）+教案1.md,必修二\第九章统计\9.1 随机抽样,Markdown文件,.md,0,,,0,概率与统计教案资源,必修二\第九章统计\9.1 随机抽样\【精品教案】2022年高中数学人教A版（2019）必修二+9.1.1简单随机抽样（1）+教案1.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/03-%E6%A6%82%E7%8E%87%E4%B8%8E%E7%BB%9F%E8%AE%A1/01-%E6%95%99%E6%A1%88/%E5%BF%85%E4%BF%AE%E4%BA%8C/%E7%AC%AC%E4%B9%9D%E7%AB%A0%E7%BB%9F%E8%AE%A1/9.1%20%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7/%E3%80%90%E7%B2%BE%E5%93%81%E6%95%99%E6%A1%88%E3%80%912022%E5%B9%B4%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E4%BA%BA%E6%95%99A%E7%89%88%EF%BC%882019%EF%BC%89%E5%BF%85%E4%BF%AE%E4%BA%8C%2B9.1.1%E7%AE%80%E5%8D%95%E9%9A%8F%E6%9C%BA%E6%8A%BD%E6%A0%B7%EF%BC%881%EF%BC%89%2B%E6%95%99%E6%A1%881.md
