文件名,目录,文件类型,扩展名,大小(KB),修改时间,关联文件,图片数量,备注,完整路径,云端链接
0526高一数学(人教A版)数系的扩充和复数的概念-4教案.docx,第七章\7.1 复数的概念,原文件,.docx,189,2026/2/6 22:47,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\0526高一数学(人教A版)数系的扩充和复数的概念-4教案.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/0526高一数学(人教A版)数系的扩充和复数的概念-4教案.docx
7.1.1.DOCX,第七章\7.1 复数的概念,原文件,.docx,50.38,2023/1/4 23:08,7.1.1.md,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\7.1.1.DOCX,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/7.1.1.DOCX
7.1.1.md,第七章\7.1 复数的概念,Markdown文件,.md,5.42,2026/3/25 11:43,7.1.1.docx,1,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\7.1.1.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/7.1.1.md
7.1.1_image_1.png,第七章\7.1 复数的概念,图片文件,.png,18.54,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\7.1.1_image_1.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/7.1.1_image_1.png
7.1.1_v2.docx,第七章\7.1 复数的概念,原文件,.docx,69.5,2021/12/27 19:31,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\7.1.1_v2.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/7.1.1_v2.docx
7.1.2.DOCX,第七章\7.1 复数的概念,原文件,.docx,52.69,2023/1/4 23:09,7.1.2.md,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\7.1.2.DOCX,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/7.1.2.DOCX
7.1.2.md,第七章\7.1 复数的概念,Markdown文件,.md,6.01,2026/3/25 11:43,7.1.2.docx,1,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\7.1.2.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/7.1.2.md
7.1.2_image_1.png,第七章\7.1 复数的概念,图片文件,.png,18.54,2026/3/25 10:53,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\7.1.2_image_1.png,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/7.1.2_image_1.png
7.1.2_v2.docx,第七章\7.1 复数的概念,原文件,.docx,101.5,2021/12/27 19:31,,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\7.1.2_v2.docx,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/7.1.2_v2.docx
课时17_第七章复数_7.1.1数系的扩充和复数的概念-教案【公众号dc008免费分享】.md,第七章\7.1 复数的概念,Markdown文件,.md,12.99,2026/3/25 11:43,课时17_第七章复数_7.1.1数系的扩充和复数的概念-教案【公众号dc008免费分享】.pdf,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时17_第七章复数_7.1.1数系的扩充和复数的概念-教案【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时17_第七章复数_7.1.1数系的扩充和复数的概念-教案【公众号dc008免费分享】.md
课时17_第七章复数_7.1.1数系的扩充和复数的概念-教案【公众号dc008免费分享】.pdf,第七章\7.1 复数的概念,原文件,.pdf,256.43,2022/8/27 17:19,课时17_第七章复数_7.1.1数系的扩充和复数的概念-教案【公众号dc008免费分享】.md,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时17_第七章复数_7.1.1数系的扩充和复数的概念-教案【公众号dc008免费分享】.pdf,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时17_第七章复数_7.1.1数系的扩充和复数的概念-教案【公众号dc008免费分享】.pdf
课时18_第七章复数_7.1.2复数的几何意义-教案【公众号dc008免费分享】.md,第七章\7.1 复数的概念,Markdown文件,.md,19.83,2026/3/25 11:43,课时18_第七章复数_7.1.2复数的几何意义-教案【公众号dc008免费分享】.pdf,0,,D:\立体几何-教案\必修二\第七章\7.1 复数的概念\课时18_第七章复数_7.1.2复数的几何意义-教案【公众号dc008免费分享】.md,https://math-1415627924.cos.ap-guangzhou.myqcloud.com/math-teaching-resources/02-立体几何/01-教案/必修二/第七章/7.1 复数的概念/课时18_第七章复数_7.1.2复数的几何意义-教案【公众号dc008免费分享】.md
